timestamp,message
1763333608747,"INFO:     169.254.172.3:34078 - ""POST /artifacts HTTP/1.1"" 200 OK"
1763333609364,2025-11-16 22:53:29 | INFO     | src.api.main              | 📥 [1763333609364] POST /artifacts from 169.254.172.3
1763333609368,2025-11-16 22:53:29 | INFO     | src.api.main              | ✅ [1763333609364] POST /artifacts → 200 (0.004s)
1763333609368,"INFO:     169.254.172.3:34078 - ""POST /artifacts HTTP/1.1"" 200 OK"
1763333609988,2025-11-16 22:53:29 | INFO     | src.api.main              | 📥 [1763333609988] GET /artifacts/code/ from 169.254.172.3
1763333609988,2025-11-16 22:53:29 | INFO     | src.api.main              | ❌ [1763333609988] GET /artifacts/code/ → 404 (0.001s)
1763333609988,"INFO:     169.254.172.3:34078 - ""GET /artifacts/code/ HTTP/1.1"" 404 Not Found"
1763333610610,2025-11-16 22:53:30 | INFO     | src.api.main              | 📥 [1763333610609] GET /artifacts/dataset/ from 169.254.172.3
1763333610610,2025-11-16 22:53:30 | INFO     | src.api.main              | ❌ [1763333610609] GET /artifacts/dataset/ → 404 (0.001s)
1763333610610,"INFO:     169.254.172.3:34078 - ""GET /artifacts/dataset/ HTTP/1.1"" 404 Not Found"
1763333611224,2025-11-16 22:53:31 | INFO     | src.api.main              | 📥 [1763333611224] GET /artifacts/model/1 from 169.254.172.3
1763333611228,"2025-11-16 22:53:31 | INFO     | src.api.main              | 🔍 AUTOGRADER QUERY byId: type=model, id=1"
1763333611228,"2025-11-16 22:53:31 | INFO     | src.api.main              |    ✅ Found: id=1, name=bert-base-uncased, type=model"
1763333611228,2025-11-16 22:53:31 | INFO     | src.api.main              | ✅ [1763333611224] GET /artifacts/model/1 → 200 (0.004s)
1763333611228,"INFO:     169.254.172.3:34078 - ""GET /artifacts/model/1 HTTP/1.1"" 200 OK"
1763333611845,2025-11-16 22:53:31 | INFO     | src.api.main              | 📥 [1763333611845] GET /artifacts/model/ from 169.254.172.3
1763333611846,2025-11-16 22:53:31 | INFO     | src.api.main              | ❌ [1763333611845] GET /artifacts/model/ → 404 (0.001s)
1763333611846,"INFO:     169.254.172.3:34078 - ""GET /artifacts/model/ HTTP/1.1"" 404 Not Found"
1763333612467,2025-11-16 22:53:32 | INFO     | src.api.main              | 📥 [1763333612467] GET /artifacts/code/ from 169.254.172.3
1763333612467,2025-11-16 22:53:32 | INFO     | src.api.main              | ❌ [1763333612467] GET /artifacts/code/ → 404 (0.001s)
1763333612468,"INFO:     169.254.172.3:34078 - ""GET /artifacts/code/ HTTP/1.1"" 404 Not Found"
1763333613083,2025-11-16 22:53:33 | INFO     | src.api.main              | 📥 [1763333613083] GET /artifacts/code/ from 169.254.172.3
1763333613084,2025-11-16 22:53:33 | INFO     | src.api.main              | ❌ [1763333613083] GET /artifacts/code/ → 404 (0.001s)
1763333613084,"INFO:     169.254.172.3:34078 - ""GET /artifacts/code/ HTTP/1.1"" 404 Not Found"
1763333613699,2025-11-16 22:53:33 | INFO     | src.api.main              | 📥 [1763333613698] GET /artifacts/dataset/ from 169.254.172.3
1763333613699,2025-11-16 22:53:33 | INFO     | src.api.main              | ❌ [1763333613698] GET /artifacts/dataset/ → 404 (0.001s)
1763333613700,"INFO:     169.254.172.3:34078 - ""GET /artifacts/dataset/ HTTP/1.1"" 404 Not Found"
1763333614362,2025-11-16 22:53:34 | INFO     | src.api.main              | 📥 [1763333614362] GET /artifacts/model/ from 169.254.172.3
1763333614363,2025-11-16 22:53:34 | INFO     | src.api.main              | ❌ [1763333614362] GET /artifacts/model/ → 404 (0.001s)
1763333614363,"INFO:     169.254.172.3:34078 - ""GET /artifacts/model/ HTTP/1.1"" 404 Not Found"
1763333614991,2025-11-16 22:53:34 | INFO     | src.api.main              | 📥 [1763333614991] GET /artifacts/code/ from 169.254.172.3
1763333614992,2025-11-16 22:53:34 | INFO     | src.api.main              | ❌ [1763333614991] GET /artifacts/code/ → 404 (0.000s)
1763333614992,"INFO:     169.254.172.3:34078 - ""GET /artifacts/code/ HTTP/1.1"" 404 Not Found"
1763333615612,2025-11-16 22:53:35 | INFO     | src.api.main              | 📥 [1763333615612] GET /artifacts/dataset/ from 169.254.172.3
1763333615613,2025-11-16 22:53:35 | INFO     | src.api.main              | ❌ [1763333615612] GET /artifacts/dataset/ → 404 (0.001s)
1763333615613,"INFO:     169.254.172.3:34078 - ""GET /artifacts/dataset/ HTTP/1.1"" 404 Not Found"
1763333616244,2025-11-16 22:53:36 | INFO     | src.api.main              | 📥 [1763333616243] GET /artifacts/model/ from 169.254.172.3
1763333616244,2025-11-16 22:53:36 | INFO     | src.api.main              | ❌ [1763333616243] GET /artifacts/model/ → 404 (0.001s)
1763333616244,"INFO:     169.254.172.3:34078 - ""GET /artifacts/model/ HTTP/1.1"" 404 Not Found"
1763333616860,2025-11-16 22:53:36 | INFO     | src.api.main              | 📥 [1763333616860] GET /artifacts/code/ from 169.254.172.3
1763333616860,2025-11-16 22:53:36 | INFO     | src.api.main              | ❌ [1763333616860] GET /artifacts/code/ → 404 (0.000s)
